    0.02    0.02    0.01    0.02    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.01    0.02    0.02    0.02    0.02    0.02
    0.02    0.02    0.02    0.02    0.02    0.01    0.02    0.00    0.01    0.01    0.01    0.01    0.01    0.01    0.02    0.01    0.01    0.01    0.02    0.02    0.02    0.02    0.03    0.04
    0.02    0.02    0.02    0.02    0.02    0.02    0.01    0.02    0.02    0.02    0.01    0.01    0.01    0.01    0.01    0.01    0.02    0.02    0.00    0.02    0.00    0.02    0.00    0.03
    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.01    0.01    0.01    0.02    0.01    0.02    0.01    0.01    0.01    0.02    0.02    0.02    0.02    0.03    0.03
    0.03    0.03    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.01    0.02    0.01    0.01    0.02    0.01    0.02    0.01    0.02    0.02    0.02    0.03    0.00    0.03
    0.02    0.03    0.03    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.01    0.02    0.02    0.01    0.02    0.02    0.02    0.02    0.02    0.03    0.04    0.03    0.03
    0.03    0.03    0.02    0.02    0.03    0.02    0.03    0.03    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.02    0.03    0.03    0.03    0.04
    0.03    0.03    0.03    0.03    0.03    0.03    0.00    0.02    0.02    0.03    0.03    0.02    0.03    0.02    0.02    0.02    0.03    0.02    0.02    0.03    0.04    0.04    0.04    0.12
    0.05    0.02    0.02    0.02    0.02    0.02    0.03    0.08
    0.03    0.02    0.01    0.01    0.01    0.01    0.02    0.02
    0.02    0.01    0.01    0.01    0.01    0.01    0.01    0.02
    0.02    0.01    0.01    0.01    0.01    0.01    0.01    0.02
    0.02    0.01    0.01    0.01    0.01    0.01    0.01    0.02
    0.02    0.01    0.01    0.01    0.01    0.01    0.03    0.08
    0.02    0.02    0.01    0.01    0.01    0.01    0.02    0.02
    0.03    0.03    0.02    0.03    0.02    0.02    0.03    0.00

